sura,ayat,dominant_topic,confidence
9,58,10,0.2847222
9,59,11,0.49509805
9,60,13,0.29310346
9,61,10,0.29807693
9,62,9,0.23134328
9,63,11,0.23134328
9,64,2,0.43292683
9,65,11,0.35416666
9,66,11,0.63793105
9,67,9,0.23563218
9,68,13,0.26068377
9,69,2,0.23106061
9,70,11,0.47637796
9,71,9,0.517094
9,72,6,0.4552239
9,73,4,0.22262774
9,74,1,0.33116883
9,75,10,0.28378376
9,76,8,0.25
9,77,5,0.68269235
9,78,11,0.25
9,79,12,0.38586956
9,80,11,0.24015749
9,81,4,0.25
9,82,13,0.36160716
9,83,3,0.25
9,84,11,0.49305555
9,85,11,0.23563218
9,86,13,0.43617022
9,87,11,0.41129032
9,88,9,0.79824567
9,89,7,0.31443298
9,90,13,0.29310346
9,91,12,0.3109756
9,92,13,0.38586956
9,93,5,0.21478873
9,94,4,0.27192983
9,95,4,0.43617022
9,96,5,0.37195122
9,97,7,0.26288658
9,98,13,0.30341882
9,99,9,0.71875
9,100,7,0.49390247
9,101,5,0.3505747
9,102,5,0.30597016
9,103,5,0.56250006
9,104,5,0.38059703
9,105,5,0.5350877
