sura,ayat,0,1,2,3,4,5,6,7,8,9,10,11,12,13
2,120,0.004901961,0.004901961,0.004901961,0.004901961,0.004901961,0.004901961,0.15196078,0.004901961,0.004901961,0.004901961,0.3480392,0.004901961,0.15196078,0.2990196
2,121,0.076388896,0.006944445,0.006944445,0.006944445,0.076388896,0.006944445,0.21527778,0.006944445,0.006944445,0.006944445,0.076388896,0.006944445,0.35416666,0.14583333
2,122,0.09649123,0.18421052,0.00877193,0.00877193,0.00877193,0.00877193,0.00877193,0.09649123,0.00877193,0.00877193,0.27192983,0.00877193,0.09649123,0.18421052
2,123,0.08208956,0.007462687,0.007462687,0.007462687,0.23134328,0.007462687,0.007462687,0.007462687,0.08208956,0.007462687,0.08208956,0.007462687,0.08208956,0.38059703
2,124,0.006097561,0.067073174,0.006097561,0.006097561,0.12804878,0.006097561,0.18902439,0.067073174,0.006097561,0.006097561,0.006097561,0.006097561,0.3109756,0.18902439
2,125,0.0042735045,0.0042735045,0.0042735045,0.0042735045,0.047008548,0.0042735045,0.30341882,0.0042735045,0.0042735045,0.26068377,0.0042735045,0.13247862,0.089743584,0.13247862
2,126,0.003787879,0.003787879,0.003787879,0.041666668,0.11742424,0.003787879,0.19318181,0.11742424,0.11742424,0.11742424,0.07954545,0.003787879,0.15530303,0.041666668
2,127,0.08208956,0.007462687,0.007462687,0.007462687,0.007462687,0.4552239,0.30597016,0.007462687,0.007462687,0.007462687,0.007462687,0.007462687,0.007462687,0.08208956
2,128,0.0042735045,0.0042735045,0.0042735045,0.0042735045,0.0042735045,0.43162397,0.089743584,0.0042735045,0.0042735045,0.0042735045,0.047008548,0.089743584,0.17521368,0.13247862
2,129,0.38586956,0.0054347827,0.16847827,0.0054347827,0.0054347827,0.33152175,0.0054347827,0.0054347827,0.0054347827,0.0054347827,0.0054347827,0.0054347827,0.0054347827,0.059782613
2,130,0.006493507,0.13636364,0.006493507,0.006493507,0.13636364,0.006493507,0.13636364,0.006493507,0.006493507,0.071428575,0.006493507,0.26623377,0.13636364,0.071428575
2,131,0.011904763,0.011904763,0.011904763,0.011904763,0.011904763,0.011904763,0.011904763,0.25,0.011904763,0.011904763,0.25,0.011904763,0.13095239,0.25
2,132,0.006097561,0.006097561,0.006097561,0.067073174,0.006097561,0.006097561,0.18902439,0.006097561,0.006097561,0.006097561,0.006097561,0.37195122,0.18902439,0.12804878
2,133,0.0046728975,0.0046728975,0.23831776,0.051401872,0.0046728975,0.09813084,0.19158879,0.0046728975,0.0046728975,0.0046728975,0.051401872,0.1448598,0.09813084,0.09813084
2,134,0.0106382985,0.0106382985,0.0106382985,0.0106382985,0.117021285,0.0106382985,0.0106382985,0.0106382985,0.0106382985,0.0106382985,0.0106382985,0.43617022,0.117021285,0.22340426
2,135,0.007462687,0.007462687,0.007462687,0.007462687,0.007462687,0.007462687,0.38059703,0.007462687,0.08208956,0.08208956,0.08208956,0.007462687,0.23134328,0.08208956
2,136,0.0046728975,0.0046728975,0.0046728975,0.0046728975,0.0046728975,0.0046728975,0.56542057,0.0046728975,0.0046728975,0.0046728975,0.09813084,0.0046728975,0.09813084,0.19158879
2,137,0.007462687,0.007462687,0.007462687,0.007462687,0.15671642,0.38059703,0.007462687,0.007462687,0.007462687,0.007462687,0.08208956,0.007462687,0.23134328,0.08208956
2,138,0.171875,0.015625,0.32812497,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.171875,0.171875
2,139,0.00877193,0.00877193,0.00877193,0.00877193,0.18421052,0.00877193,0.00877193,0.00877193,0.09649123,0.00877193,0.09649123,0.00877193,0.35964912,0.18421052
