sura,ayat,0,1,2,3,4,5,6,7,8,9
2,63,0.007142857,0.007142857,0.007142857,0.07857143,0.14999999,0.22142856,0.007142857,0.007142857,0.43571427,0.07857143
2,64,0.1375,0.0125,0.0125,0.0125,0.1375,0.0125,0.0125,0.0125,0.2625,0.3875
2,65,0.008333334,0.008333334,0.008333334,0.25833333,0.09166667,0.008333334,0.34166667,0.175,0.09166667,0.008333334
2,66,0.014285714,0.014285714,0.014285714,0.014285714,0.15714286,0.15714286,0.014285714,0.014285714,0.5857143,0.014285714
2,67,0.07857143,0.007142857,0.007142857,0.007142857,0.07857143,0.29285714,0.007142857,0.007142857,0.14999999,0.3642857
2,68,0.008333334,0.09166667,0.008333334,0.008333334,0.25833333,0.175,0.008333334,0.175,0.008333334,0.25833333
2,69,0.008333334,0.008333334,0.175,0.008333334,0.09166667,0.175,0.09166667,0.09166667,0.008333334,0.34166667
2,70,0.11,0.01,0.01,0.01,0.11,0.21,0.11,0.01,0.11,0.31
2,71,0.0055555557,0.0055555557,0.22777778,0.0055555557,0.11666666,0.28333333,0.06111111,0.06111111,0.11666666,0.11666666
2,72,0.0125,0.1375,0.0125,0.0125,0.2625,0.0125,0.0125,0.3875,0.1375,0.0125
2,73,0.009090909,0.009090909,0.28181818,0.009090909,0.19090909,0.1,0.19090909,0.009090909,0.1,0.1
2,74,0.0038461538,0.0038461538,0.3115385,0.080769226,0.042307694,0.042307694,0.0038461538,0.042307694,0.080769226,0.38846156
2,75,0.008333334,0.008333334,0.008333334,0.09166667,0.09166667,0.175,0.25833333,0.008333334,0.25833333,0.09166667
2,76,0.07333334,0.006666667,0.006666667,0.006666667,0.27333334,0.006666667,0.006666667,0.006666667,0.34,0.27333334
2,77,0.016666668,0.016666668,0.016666668,0.016666668,0.35,0.016666668,0.35,0.016666668,0.016666668,0.18333334
